profile_id,entity_id,title_raw,title_provider_cleaned,seniority_provider,location,start_date,profile_last_updated,salary_est_base
700445,4471023,Field Supervisor,Field Supervisor,Manager,"Dayton, OH",2025-05-19,2026-02-13,
700461,4471023,President,President,Executive,"Cincinnati, OH",2010-05-01,2020-11-06,152000.0
700094,4471023,Plumber,Plumber,Mid,"Dayton, OH",2007-12-01,2022-09-22,
700318,6120887,Staff Accountant,Accountant,Mid,"Louisville, KY",2010-10-01,2019-01-07,
700068,6120887,HVAC Installer,Installer,Mid,"Louisville, KY",2021-05-27,2025-05-06,58500.0
700006,6120887,HVAC Service Technician,Service Technician,Mid,"Louisville, KY",2011-11-01,2022-11-25,
700087,6120887,Install Technician,Installer,Mid,"Louisville, KY",2023-05-27,2026-01-29,46000.0
700159,4471023,Comfort Advisor,Sales Representative,Mid,"Columbus, OH",2022-11-16,2026-03-12,
700144,4471023,Comfort Advisor,Sales Representative,Entry,"Lexington, KY",2025-10-18,2025-10-27,53000.0
700513,9083341,Territory Sales Rep - Wholesale,Sales Representative,Mid,"Lakeland, FL",2021-12-10,2025-06-19,55500.0
700517,9083341,Territory Sales Rep - Wholesale,Sales Representative,Entry,"Fort Myers, FL",2024-06-22,2025-03-29,
700394,4471023,Digital Marketing Specialist,Marketing Specialist,Mid,"Louisville, KY",2022-06-16,2025-05-22,
700210,4471023,Inside Sales Representative,Inside Sales,Mid,"Cincinnati, OH",2017-12-05,2026-07-24,
700173,4471023,Home Solutions Consultant,Sales Representative,Mid,"Mason, OH",2021-03-24,2026-02-10,
700605,9083341,Inside Sales - HVAC Parts,Inside Sales,Mid,"Tampa, FL",2023-05-08,2024-11-30,
700413,6120887,Branch Manager,Branch Manager,Manager,"Louisville, KY",2023-12-01,2025-10-14,
700095,4471023,Plumber,Plumber,Mid,"Cincinnati, OH",2010-04-01,2018-03-20,59000.0
700177,4471023,Home Solutions Consultant,Sales Representative,Mid,"Mason, OH",2021-05-29,2025-09-24,53500.0
