employee_id,opco,department,job_title,job_level,employee_type,pay_rate,pay_basis,scheduled_weekly_hours,hire_date,termination_date,status,work_state
NHS-10067,Northstar Corporate,Executive & Corporate,Operations Analyst,,,73500.0,Annual,40.0,2025-02-21,,Active,FL
PIN-10307,Pinnacle Plumbing & Drain,Sales,Senior Sales Consultant,,,50500.0,,,2024-05-21,,Active,TX
PIN-90043,Pinnacle Plumbing & Drain,Executive,Executive Assistant,,,64500.0,,,2022-11-26,2026-04-20,Terminated,TX
BAY-10193,Bayside Mechanical,Service,HVAC Service Tech II,,Full-Time,32.44,Hourly,40.0,2024-04-21,,Active,FL
GLC-90025,Great Lakes Comfort Systems,Finance,AP/AR Specialist,L1,Regular,23.49,Hourly,40.0,2018-12-27,2026-04-12,Terminated,MI
GLC-10094,Great Lakes Comfort Systems,Install,Installer,L3,Regular,40.33,Hourly,40.0,2025-04-30,,Active,MI
GLC-10194,Great Lakes Comfort Systems,Service - HVAC,Technician,L2,Full-Time,33.99,Hourly,40.0,2024-10-14,,Active,MI
PIN-10151,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,,Full-Time,17.76,,,2021-12-29,,Active,TX
BAY-10421,Bayside Mechanical,Customer Care,Dispatcher,,Full-Time,23.04,Hourly,25.0,2024-08-21,,Active,FL
RED-10099,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),,Regular,18.5,Hourly,,2026-01-21,,Active,AZ
PIN-10389,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,,Regular,16.68,,,2025-05-31,,Active,TX
GLC-90063,Great Lakes Comfort Systems,Install,Installer,L1,Full-Time,18.84,Hourly,40.0,2021-11-08,2026-04-30,Terminated,MI
BAY-10376,Bayside Mechanical,Customer Care,Customer Service Rep,,FT,19.32,Hourly,24.0,2021-07-12,,Active,FL
GLC-10081,Great Lakes Comfort Systems,Install,Installer,L2,FT,27.21,Hourly,40.0,2023-11-12,,Active,MI
BAY-10109,Bayside Mechanical,Install,HVAC Installer II,,,26.45,Hourly,40.0,2024-10-18,,Active,FL
PIN-10375,Pinnacle Plumbing & Drain,Call Center,Call Center Supervisor,,Regular,58000.0,,,2023-11-02,,Active,TX
BAY-10129,Bayside Mechanical,Install,Lead HVAC Installer,,FT,42.2,Hourly,40.0,2021-12-20,,Active,FL
BAY-10164,Bayside Mechanical,Service,HVAC Service Tech I,,Regular,17.5,Hourly,40.0,2020-09-13,,Active,FL
NHS-10047,Northstar Corporate,IT,IT Manager,,Regular,112500.0,Annual,40.0,2023-03-21,,Active,FL
RED-10174,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),,Regular,42.43,Hourly,,2024-11-20,,Active,AZ
PIN-10018,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,Seasonal,20.24,,,2022-09-23,,Active,TX
RED-10198,Redwood Electric,Field Ops - Service,Field Supervisor,,Regular,80000.0,Annual,,2024-10-13,,Active,AZ
BAY-90035,Bayside Mechanical,Sales,Comfort Advisor,,Full-Time,44000.0,Annual,40.0,2019-10-25,2026-05-29,Terminated,FL
GLC-90076,Great Lakes Comfort Systems,Warehouse,Parts Coordinator,L2,,24.94,Hourly,40.0,2024-03-25,2025-12-01,Terminated,MI
PIN-10003,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,,,17.78,,,2025-06-23,,Active,TX
BAY-10143,Bayside Mechanical,Service,HVAC Service Tech I,,Regular,20.67,Hourly,40.0,2022-08-29,,Active,FL
PIN-10232,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,,FT,28.1,,,2024-10-21,,Active,TX
PIN-10282,Pinnacle Plumbing & Drain,Field,Field Supervisor,,Regular,82000.0,,,2026-05-22,,Active,TX
