pnl_department,base_wages_salaries,overtime,commissions_spiffs,bonus,payroll_taxes,benefits,contract_labor,total_labor_cost,avg_headcount_ttm
Field Service - Install,27884606,3386229,2247483,279101,2370125,3648503,429800,40245847,473
Field Service - Repair & Maintenance,36908705,4393948,3684367,369971,3130571,4816543,860220,54164325,583
Sales,6332819,0,3804198,126214,534987,693340,0,11491558,119
Customer Care & Dispatch,8511300,340443,0,170670,725357,1022918,53640,10824328,202
Warehouse & Fleet,4156505,333392,0,41833,352731,502316,91980,5478757,94
Finance & Accounting,4002536,0,0,319990,299778,442403,0,5064707,59
HR,1888412,0,0,113844,141276,207613,0,2351145,28
IT,2492753,0,0,199812,186949,273782,342820,3496116,31
Marketing,660116,0,0,32911,49489,73283,0,815799,10
Executive & Corporate,3227571,0,0,1128037,194062,323263,0,4872933,21
