raw_department,raw_job_title,pnl_department,mapping_note
Acctg,AP/AR Specialist,Finance & Accounting,
Acctg,Controller,Finance & Accounting,
Acctg,Payroll Specialist,Finance & Accounting,
Acctg,Senior Accountant,Finance & Accounting,
Acctg,Staff Accountant,Finance & Accounting,
CSR,Cust Svc Rep,Customer Care & Dispatch,
CSR,Dispatcher,Customer Care & Dispatch,
Call Center,CSR,Customer Care & Dispatch,
Call Center,Call Center Supervisor,Customer Care & Dispatch,
Call Center,Customer Care Manager,Customer Care & Dispatch,
Call Center,Dispacher,Customer Care & Dispatch,
Call Center,Dispatcher,Customer Care & Dispatch,
Customer Care,Call Center Supervisor,Customer Care & Dispatch,
Customer Care,Customer Care Manager,Customer Care & Dispatch,
Customer Care,Customer Service Rep,Customer Care & Dispatch,
Customer Care,Customer Service Representative,Customer Care & Dispatch,
Customer Care,Dispatcher,Customer Care & Dispatch,
Customer Care,Temp CSR,Customer Care & Dispatch,
Executive,Executive Assistant,Executive & Corporate,Opco executive office rolls up to the corporate P&L line
Executive,General Manager,Executive & Corporate,Opco executive office rolls up to the corporate P&L line
Executive & Corporate,Chief Executive Officer,Executive & Corporate,
Executive & Corporate,Chief Financial Officer,Executive & Corporate,
Executive & Corporate,Chief Operating Officer,Executive & Corporate,
Executive & Corporate,Executive Assistant,Executive & Corporate,
Executive & Corporate,Operations Analyst,Executive & Corporate,
Executive & Corporate,Regional Vice President,Executive & Corporate,
Field,Contract Electrician,Field Service - Repair & Maintenance,Pinnacle Field split on title: service trade
Field,Contract HVAC Technician,Field Service - Repair & Maintenance,Pinnacle Field split on title: service trade
Field,Contract Installer,Field Service - Install,Pinnacle Field split on title: install trade
Field,Field Supervisor,Field Service - Repair & Maintenance,Pinnacle Field split on title: supervises service crews
Field,Installation Manager,Field Service - Install,Pinnacle Field split on title: install leadership
Field,Plumber - Apprentice,Field Service - Repair & Maintenance,Pinnacle Field split on title: Plumber = service and repair
Field,Plumber - Journeyman,Field Service - Repair & Maintenance,Pinnacle Field split on title: Plumber = service and repair
Field,Plumber - Master,Field Service - Repair & Maintenance,Pinnacle Field split on title: Plumber = service and repair
Field,Plumbing Installer,Field Service - Install,Pinnacle Field split on title: Plumbing Installer = new install
Field,Plumbing Installer - Apprentice,Field Service - Install,Pinnacle Field split on title: Plumbing Installer = new install
Field,Plumbing Installer - Lead,Field Service - Install,Pinnacle Field split on title: Plumbing Installer = new install
Field,Service Manager,Field Service - Repair & Maintenance,Pinnacle Field split on title: service leadership
Field Ops - Service,Apprentice Electrician (Lvl 1),Field Service - Repair & Maintenance,
Field Ops - Service,Contract Electrician,Field Service - Repair & Maintenance,
Field Ops - Service,Electrician (Lvl 2),Field Service - Repair & Maintenance,
Field Ops - Service,Electrician (Lvl 3),Field Service - Repair & Maintenance,
Field Ops - Service,Field Supervisor,Field Service - Repair & Maintenance,
Field Ops - Service,Service Manager,Field Service - Repair & Maintenance,
Finance,AP/AR Specialist,Finance & Accounting,
Finance,Controller,Finance & Accounting,
Finance,Payroll Specialist,Finance & Accounting,
Finance,Senior Accountant,Finance & Accounting,
Finance,Staff Accountant,Finance & Accounting,
Finance & Accounting,FP&A Analyst,Finance & Accounting,
Finance & Accounting,Payroll Specialist,Finance & Accounting,
Finance & Accounting,Senior Accountant,Finance & Accounting,
Fleet,Fleet Coordinator,Warehouse & Fleet,
Fleet,Parts Coordinator,Warehouse & Fleet,
Fleet,Temp Warehouse Associate,Warehouse & Fleet,
Fleet,Warehouse Associate,Warehouse & Fleet,
HR,HR Business Partner,HR,
HR,HR Coordinator,HR,
