raw_department,raw_job_title,standardized_role,role_level,role_family
Acctg,AP/AR Specialist,AP/AR Specialist,NA,Finance & Accounting
Acctg,Controller,Controller,NA,Finance & Accounting
Acctg,Payroll Specialist,Payroll Specialist,NA,Finance & Accounting
Acctg,Senior Accountant,Accountant,Senior,Finance & Accounting
Acctg,Staff Accountant,Accountant,Staff,Finance & Accounting
CSR,Cust Svc Rep,Customer Service Representative,Unspecified,Customer Care & Dispatch
CSR,Dispatcher,Dispatcher,Unspecified,Customer Care & Dispatch
Call Center,CSR,Customer Service Representative,Unspecified,Customer Care & Dispatch
Call Center,Call Center Supervisor,Customer Care Supervisor,NA,Customer Care & Dispatch
Call Center,Customer Care Manager,Customer Care Manager,NA,Customer Care & Dispatch
Call Center,Dispacher,Dispatcher,Unspecified,Customer Care & Dispatch
Call Center,Dispatcher,Dispatcher,Unspecified,Customer Care & Dispatch
Customer Care,Call Center Supervisor,Customer Care Supervisor,NA,Customer Care & Dispatch
Customer Care,Customer Care Manager,Customer Care Manager,NA,Customer Care & Dispatch
Customer Care,Customer Service Rep,Customer Service Representative,Unspecified,Customer Care & Dispatch
Customer Care,Customer Service Representative,Customer Service Representative,Unspecified,Customer Care & Dispatch
Customer Care,Dispatcher,Dispatcher,Unspecified,Customer Care & Dispatch
Customer Care,Temp CSR,Customer Service Representative,Unspecified,Customer Care & Dispatch
Executive,Executive Assistant,Executive Assistant,NA,Executive & Corporate
Executive,General Manager,General Manager,NA,Executive & Corporate
Executive & Corporate,Chief Executive Officer,Chief Executive Officer,NA,Executive & Corporate
Executive & Corporate,Chief Financial Officer,Chief Financial Officer,NA,Executive & Corporate
Executive & Corporate,Chief Operating Officer,Chief Operating Officer,NA,Executive & Corporate
Executive & Corporate,Executive Assistant,Executive Assistant,NA,Executive & Corporate
Executive & Corporate,Operations Analyst,Operations Analyst,NA,Executive & Corporate
Executive & Corporate,Regional Vice President,Regional Vice President,NA,Executive & Corporate
Field,Contract Electrician,Electrician,Unspecified,Field - Service
Field,Contract HVAC Technician,HVAC Service Technician,Unspecified,Field - Service
Field,Contract Installer,Plumbing Installer,Unspecified,Field - Install
Field,Field Supervisor,Field Supervisor,NA,Field Leadership
Field,Installation Manager,Install Manager,NA,Field Leadership
Field,Plumber - Apprentice,Plumbing Service Technician,Apprentice,Field - Service
Field,Plumber - Journeyman,Plumbing Service Technician,Journeyman,Field - Service
Field,Plumber - Master,Plumbing Service Technician,Master,Field - Service
