scenario,held_out_opco,comp_set,role_family,total_headcount_given,predicted,actual,error,error_pct
1. Operating companies only,Bayside Mechanical,Great + Pinnacle + Redwood,Field - Install,482,141.1,132,9.1,6.9
1. Operating companies only,Bayside Mechanical,Great + Pinnacle + Redwood,Field - Service,482,166.6,172,-5.4,-3.1
1. Operating companies only,Bayside Mechanical,Great + Pinnacle + Redwood,Field Leadership,482,24.6,24,0.6,2.5
1. Operating companies only,Bayside Mechanical,Great + Pinnacle + Redwood,Field total,482,332.3,328,4.3,1.3
1. Operating companies only,Great Lakes Comfort Systems,Bayside + Pinnacle + Redwood,Field - Install,392,115.2,106,9.2,8.7
1. Operating companies only,Great Lakes Comfort Systems,Bayside + Pinnacle + Redwood,Field - Service,392,135.1,141,-5.9,-4.2
1. Operating companies only,Great Lakes Comfort Systems,Bayside + Pinnacle + Redwood,Field Leadership,392,19.2,22,-2.8,-12.8
1. Operating companies only,Great Lakes Comfort Systems,Bayside + Pinnacle + Redwood,Field total,392,269.5,269,0.5,0.2
1. Operating companies only,Pinnacle Plumbing & Drain,Bayside + Great + Redwood,Field - Install,426,122.0,125,-3.0,-2.4
1. Operating companies only,Pinnacle Plumbing & Drain,Bayside + Great + Redwood,Field - Service,426,150.9,141,9.9,7.0
1. Operating companies only,Pinnacle Plumbing & Drain,Bayside + Great + Redwood,Field Leadership,426,22.5,19,3.5,18.4
1. Operating companies only,Pinnacle Plumbing & Drain,Bayside + Great + Redwood,Field total,426,295.4,285,10.4,3.6
1. Operating companies only,Redwood Electric,Bayside + Great + Pinnacle,Field - Install,286,79.9,90,-10.1,-11.3
1. Operating companies only,Redwood Electric,Bayside + Great + Pinnacle,Field - Service,286,99.9,99,0.9,0.9
1. Operating companies only,Redwood Electric,Bayside + Great + Pinnacle,Field Leadership,286,14.3,15,-0.7,-4.3
1. Operating companies only,Redwood Electric,Bayside + Great + Pinnacle,Field total,286,194.1,204,-9.9,-4.9
2. Shared services left in the comp set,Bayside Mechanical,Great + Pinnacle + Redwood + Northstar,Field - Install,482,105.9,132,-26.1,-19.8
2. Shared services left in the comp set,Bayside Mechanical,Great + Pinnacle + Redwood + Northstar,Field - Service,482,124.9,172,-47.1,-27.4
2. Shared services left in the comp set,Bayside Mechanical,Great + Pinnacle + Redwood + Northstar,Field Leadership,482,18.5,24,-5.5,-23.1
2. Shared services left in the comp set,Bayside Mechanical,Great + Pinnacle + Redwood + Northstar,Field total,482,249.3,328,-78.7,-24.0
2. Shared services left in the comp set,Great Lakes Comfort Systems,Bayside + Pinnacle + Redwood + Northstar,Field - Install,392,86.4,106,-19.6,-18.5
2. Shared services left in the comp set,Great Lakes Comfort Systems,Bayside + Pinnacle + Redwood + Northstar,Field - Service,392,101.3,141,-39.7,-28.1
2. Shared services left in the comp set,Great Lakes Comfort Systems,Bayside + Pinnacle + Redwood + Northstar,Field Leadership,392,14.4,22,-7.6,-34.6
2. Shared services left in the comp set,Great Lakes Comfort Systems,Bayside + Pinnacle + Redwood + Northstar,Field total,392,202.2,269,-66.8,-24.8
2. Shared services left in the comp set,Pinnacle Plumbing & Drain,Bayside + Great + Redwood + Northstar,Field - Install,426,91.5,125,-33.5,-26.8
2. Shared services left in the comp set,Pinnacle Plumbing & Drain,Bayside + Great + Redwood + Northstar,Field - Service,426,113.2,141,-27.8,-19.7
2. Shared services left in the comp set,Pinnacle Plumbing & Drain,Bayside + Great + Redwood + Northstar,Field Leadership,426,16.9,19,-2.1,-11.2
2. Shared services left in the comp set,Pinnacle Plumbing & Drain,Bayside + Great + Redwood + Northstar,Field total,426,221.5,285,-63.5,-22.3
2. Shared services left in the comp set,Redwood Electric,Bayside + Great + Pinnacle + Northstar,Field - Install,286,59.9,90,-30.1,-33.4
2. Shared services left in the comp set,Redwood Electric,Bayside + Great + Pinnacle + Northstar,Field - Service,286,74.9,99,-24.1,-24.3
2. Shared services left in the comp set,Redwood Electric,Bayside + Great + Pinnacle + Northstar,Field Leadership,286,10.8,15,-4.2,-28.3
2. Shared services left in the comp set,Redwood Electric,Bayside + Great + Pinnacle + Northstar,Field total,286,145.6,204,-58.4,-28.6
