opco,pnl_department,role_family,standardized_role,role_level,positions,fte,scheduled_weekly_hours,annual_base,hourly_base_rate,overtime_cost,variable_comp_cost,bonus_cost,payroll_tax_cost,benefits_cost,fully_loaded_annual_cost,fully_loaded_hourly_cost,load_factor_applied,total_fully_loaded_cost,wage_index_applied,pay_source
Cardinal Comfort Services,Field Service - Install,Field - Install,HVAC Installer,I,23.0,23.0,40.0,41550.0,19.98,5044.0,3349.0,416.0,3532.0,7714.0,61604.0,29.62,1.48,1419670.0,1.0122,"Great Lakes Comfort Systems median for HVAC Installer, level ratio from Bayside Mechanical"
Cardinal Comfort Services,Field Service - Install,Field - Install,HVAC Installer,II,62.2,62.2,40.0,55435.0,26.65,6730.0,4468.0,554.0,4712.0,7714.0,79613.0,38.28,1.44,4953656.0,1.0122,"Great Lakes Comfort Systems median for HVAC Installer, level ratio from Bayside Mechanical"
Cardinal Comfort Services,Field Service - Install,Field - Install,HVAC Installer,Lead,16.1,16.1,40.0,89575.0,43.06,10874.0,7220.0,896.0,7614.0,7714.0,123892.0,59.56,1.38,1998576.0,1.0122,"Great Lakes Comfort Systems median for HVAC Installer, level ratio from Bayside Mechanical"
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field - Service,HVAC Service Technician,I,22.3,22.3,40.0,42215.0,20.3,5024.0,4213.0,422.0,3580.0,8262.0,63716.0,30.63,1.51,1423994.0,1.0122,"Great Lakes Comfort Systems median for HVAC Service Technician, level ratio from Bayside Mechanical"
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field - Service,HVAC Service Technician,II,60.0,60.0,40.0,60600.0,29.13,7211.0,6048.0,606.0,5139.0,8262.0,87866.0,42.24,1.45,5271059.0,1.0122,"Great Lakes Comfort Systems median for HVAC Service Technician, level ratio from Bayside Mechanical"
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field - Service,HVAC Service Technician,III,18.8,18.8,40.0,79805.0,38.37,9497.0,7965.0,798.0,6767.0,8262.0,113094.0,54.37,1.42,2128466.0,1.0122,"Great Lakes Comfort Systems median for HVAC Service Technician, level ratio from Bayside Mechanical"
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field - Service,Plumbing Service Technician,Apprentice,6.7,6.7,40.0,43074.0,20.71,5126.0,4299.0,431.0,3653.0,8262.0,64844.0,31.17,1.51,434201.0,1.0122,"Great Lakes Comfort Systems median for Plumbing Service Technician, level ratio from Pinnacle Plumbing & Drain"
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field - Service,Plumbing Service Technician,Journeyman,19.6,19.6,40.0,62840.0,30.21,7478.0,6271.0,628.0,5329.0,8262.0,90808.0,43.66,1.45,1780746.0,1.0122,"Great Lakes Comfort Systems median for Plumbing Service Technician, level ratio from Pinnacle Plumbing & Drain"
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field - Service,Plumbing Service Technician,Master,7.4,7.4,40.0,86806.0,41.73,10330.0,8663.0,868.0,7361.0,8262.0,122290.0,58.79,1.41,906606.0,1.0122,"Great Lakes Comfort Systems median for Plumbing Service Technician, level ratio from Pinnacle Plumbing & Drain"
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field Leadership,Field Supervisor,Unspecified,7.7,7.7,40.0,78955.0,37.96,9396.0,7880.0,790.0,6695.0,8262.0,111977.0,53.83,1.42,856924.0,1.0122,Great Lakes Comfort Systems median for Field Supervisor
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field Leadership,Install Manager,Unspecified,6.7,6.7,40.0,85028.0,40.88,10118.0,8486.0,850.0,7210.0,8262.0,119955.0,57.67,1.41,803231.0,1.0122,Great Lakes Comfort Systems median for Install Manager
Cardinal Comfort Services,Field Service - Repair & Maintenance,Field Leadership,Service Manager,Unspecified,6.7,6.7,40.0,94138.0,45.26,11202.0,9395.0,941.0,7983.0,8262.0,131922.0,63.42,1.4,883364.0,1.0122,Great Lakes Comfort Systems median for Service Manager
