profile_id,entity_id,entity_name,provider_industry,location,title_raw,standardized_role,role_family,seniority_provider,start_date,profile_last_updated,months_since_update,staleness_cutoff_date,salary_est_base,live_for_headcount,live_for_structure,excluded_reason
700125,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Apprentice HVAC Technician,HVAC Service Technician,Field - Service,Entry,2024-03-15,2024-10-30,22.0,2024-09-01,,True,True,
700417,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Branch Manager,Branch Manager,Executive & Corporate,Manager,2019-12-17,2025-02-14,18.5,2024-09-01,,True,True,
700399,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Brand Manager,Marketing Manager,Marketing,Manager,2024-02-15,2026-07-16,1.5,2024-09-01,,True,True,
700288,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Call Center Team Lead,Customer Care Supervisor,Customer Care & Dispatch,Manager,2020-03-30,2025-10-06,10.8,2024-09-01,,True,True,
700158,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Comfort Advisor,Sales Consultant,Sales,Entry,2024-03-08,2024-12-25,20.2,2024-09-01,51000.0,True,True,
700152,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Comfort Advisor,Sales Consultant,Sales,Entry,2025-08-13,2026-05-02,4.0,2024-09-01,,True,True,
700136,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Comfort Advisor,Sales Consultant,Sales,Mid,2020-04-13,2024-12-28,20.1,2024-09-01,,True,True,
700339,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Controller,Controller,Finance & Accounting,Manager,2026-01-02,2026-05-06,3.9,2024-09-01,64000.0,True,True,
700338,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Controller,Controller,Finance & Accounting,Manager,2022-09-30,2025-04-09,16.8,2024-09-01,70000.0,True,True,
700292,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Experience Manager,Customer Care Manager,Customer Care & Dispatch,Manager,2025-06-19,2025-11-04,9.9,2024-09-01,39500.0,True,True,
700237,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2022-02-26,2025-04-12,16.7,2024-09-01,,True,True,
700250,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Entry,2025-02-20,2025-12-11,8.7,2024-09-01,,True,True,
700254,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2022-12-24,2025-09-03,11.9,2024-09-01,,True,True,
700232,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2022-01-04,2025-12-27,8.1,2024-09-01,35500.0,True,True,
700251,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Entry,2024-08-22,2025-01-09,19.7,2024-09-01,,True,True,
700248,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2017-01-17,2025-09-15,11.5,2024-09-01,,True,True,
700249,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Entry,2026-04-19,2026-05-11,3.7,2024-09-01,,True,True,
700252,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2021-11-01,2026-05-23,3.3,2024-09-01,38500.0,True,True,
700242,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2021-08-06,2025-11-10,9.7,2024-09-01,36000.0,True,True,
700230,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2024-02-13,2026-01-19,7.4,2024-09-01,,True,True,
700241,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Entry,2026-03-18,2026-05-15,3.6,2024-09-01,,True,True,
700244,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Mid,2023-01-14,2026-07-28,1.1,2024-09-01,,True,True,
700245,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Customer Service Representative,Customer Service Representative,Customer Care & Dispatch,Entry,2024-08-28,2025-05-07,15.8,2024-09-01,,True,True,
700393,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Digital Marketing Specialist,Digital Marketing Specialist,Marketing,Entry,2025-09-11,2026-03-26,5.2,2024-09-01,,True,True,
700391,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Digital Marketing Specialist,Digital Marketing Specialist,Marketing,Mid,2023-01-05,2024-10-29,22.1,2024-09-01,61500.0,True,True,
700390,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Digital Marketing Specialist,Digital Marketing Specialist,Marketing,Entry,2026-04-10,2026-05-27,3.2,2024-09-01,,True,True,
700388,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Digital Marketing Specialist,Digital Marketing Specialist,Marketing,Mid,2023-06-09,2026-06-15,2.6,2024-09-01,,True,True,
700392,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Digital Marketing Specialist,Digital Marketing Specialist,Marketing,Mid,2023-07-13,2025-04-08,16.8,2024-09-01,,True,True,
700404,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Director of Operations,Operations Director,Executive & Corporate,Director,2022-09-09,2025-05-07,15.8,2024-09-01,,True,True,
700268,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Dispatcher,Dispatcher,Customer Care & Dispatch,Mid,2022-05-08,2026-02-03,6.9,2024-09-01,43000.0,True,True,
700266,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Dispatcher,Dispatcher,Customer Care & Dispatch,Entry,2026-06-01,2026-08-26,0.2,2024-09-01,,True,True,
700271,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Dispatcher,Dispatcher,Customer Care & Dispatch,Entry,2025-04-21,2026-07-11,1.7,2024-09-01,,True,True,
700446,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Field Supervisor,Field Supervisor,Field Leadership,Manager,2020-09-18,2025-08-29,12.1,2024-09-01,,True,True,
700449,4471023,Cardinal Comfort Services LLC,Residential HVAC & plumbing services,"Cincinnati, OH",Field Supervisor,Field Supervisor,Field Leadership,Manager,2026-02-20,2026-03-14,5.6,2024-09-01,,True,True,
