employee_id,opco,pnl_department,standardized_role,role_level,role_family,employee_type,work_state,fte,pay_rate,pay_basis_resolved,annualized_contract_cost,data_quality_flag
BAY-C338,Bayside Mechanical,Customer Care & Dispatch,Customer Service Representative,Unspecified,Customer Care & Dispatch,Temp,FL,1.0,18.7,Hourly,38896.0,clean
BAY-C339,Bayside Mechanical,Customer Care & Dispatch,Customer Service Representative,Unspecified,Customer Care & Dispatch,Temp,FL,1.0,17.01,Hourly,35380.8,clean
GLC-C340,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Service Representative,Unspecified,Customer Care & Dispatch,Temp,MI,1.0,17.93,Hourly,37294.4,clean
RED-C317,Redwood Electric,Field Service - Install,Electrical Installer,Unspecified,Field - Install,Contractor,AZ,1.0,45.82,Hourly,95305.6,hours_defaulted
RED-C322,Redwood Electric,Field Service - Install,Electrical Installer,Unspecified,Field - Install,Contractor,AZ,1.0,41.53,Hourly,86382.4,hours_defaulted
BAY-C313,Bayside Mechanical,Field Service - Install,HVAC Installer,Unspecified,Field - Install,Contractor,FL,1.0,44.79,Hourly,93163.2,clean
BAY-C315,Bayside Mechanical,Field Service - Install,HVAC Installer,Unspecified,Field - Install,Contractor,FL,1.0,48.06,Hourly,99964.8,clean
BAY-C316,Bayside Mechanical,Field Service - Install,HVAC Installer,Unspecified,Field - Install,Contractor,FL,1.0,38.84,Hourly,80787.2,clean
BAY-C319,Bayside Mechanical,Field Service - Install,HVAC Installer,Unspecified,Field - Install,Contractor,FL,1.0,44.15,Hourly,91832.0,clean
GLC-C318,Great Lakes Comfort Systems,Field Service - Install,HVAC Installer,Unspecified,Field - Install,Contractor,MI,1.0,44.78,Hourly,93142.4,clean
GLC-C320,Great Lakes Comfort Systems,Field Service - Install,HVAC Installer,Unspecified,Field - Install,Contractor,MI,1.0,38.8,Hourly,80704.0,clean
PIN-C314,Pinnacle Plumbing & Drain,Field Service - Install,Plumbing Installer,Unspecified,Field - Install,Contractor,TX,1.0,44.47,Hourly,92497.6,hours_defaulted;pay_basis_imputed
PIN-C321,Pinnacle Plumbing & Drain,Field Service - Install,Plumbing Installer,Unspecified,Field - Install,Contractor,TX,1.0,38.56,Hourly,80204.8,hours_defaulted;pay_basis_imputed
BAY-C324,Bayside Mechanical,Field Service - Repair & Maintenance,Electrician,Unspecified,Field - Service,1099,FL,1.0,54.68,Hourly,113734.4,clean
GLC-C323,Great Lakes Comfort Systems,Field Service - Repair & Maintenance,Electrician,Unspecified,Field - Service,1099,MI,1.0,42.73,Hourly,88878.4,clean
