employee_id,opco,raw_department,raw_job_title,field,issue,original_value,resolved_value,rule_applied
BAY-10405,Bayside Mechanical,Sales,Customer Service Rep,employee_id,Duplicate employee_id,Sales / status blank,row dropped,Keep the duplicate row with a populated status
GLC-10345,Great Lakes Comfort Systems,Sales,Customer Care Manager,employee_id,Duplicate employee_id,Sales / status blank,row dropped,Keep the duplicate row with a populated status
RED-10236,Redwood Electric,Sales,Cust Svc Rep,employee_id,Duplicate employee_id,Sales / status blank,row dropped,Keep the duplicate row with a populated status
GLC-10138,Great Lakes Comfort Systems,Install,Technician,employee_id,Duplicate employee_id,Install / status blank,row dropped,Keep the duplicate row with a populated status
RED-10009,Redwood Electric,Parts & Fleet,Apprentice Electrician (Lvl 1),employee_id,Duplicate employee_id,Parts & Fleet / status blank,row dropped,Keep the duplicate row with a populated status
RED-10139,Redwood Electric,Parts & Fleet,Electrician (Lvl 2),employee_id,Duplicate employee_id,Parts & Fleet / status blank,row dropped,Keep the duplicate row with a populated status
PIN-90046,Pinnacle Plumbing & Drain,Call Center,Call Center Supervisor,termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
PIN-90078,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
PIN-90084,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
BAY-90011,Bayside Mechanical,Sales,Comfort Advisor,termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
BAY-90014,Bayside Mechanical,Warehouse,Warehouse Associate,termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
RED-90057,Redwood Electric,Installation,Electrical Installer (Lvl 2),termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
PIN-90093,Pinnacle Plumbing & Drain,Field,Plumber - Master,termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
RED-90051,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
RED-90036,Redwood Electric,Installation,Electrical Installer (Lvl 2),termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
GLC-90059,Great Lakes Comfort Systems,Service - Plumbing,Technician,termination_date,Terminated with no termination_date,blank,excluded from active model,9xxxx id prefix corroborates terminated status
PIN-10307,Pinnacle Plumbing & Drain,Sales,Senior Sales Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10151,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10099,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10389,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10375,Pinnacle Plumbing & Drain,Call Center,Call Center Supervisor,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10174,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10018,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10198,Redwood Electric,Field Ops - Service,Field Supervisor,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10003,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10232,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10282,Pinnacle Plumbing & Drain,Field,Field Supervisor,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10214,Redwood Electric,Sales,Sr Home Solutions Consultant,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10120,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Lead,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10203,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10023,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10075,Redwood Electric,Installation,Lead Electrical Installer (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10117,Redwood Electric,Field Ops - Service,Apprentice Electrician (Lvl 1),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10222,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10144,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10161,Redwood Electric,Field Ops - Service,Electrician (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10339,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10277,Pinnacle Plumbing & Drain,Field,Field Supervisor,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10175,Redwood Electric,Field Ops - Service,Electrician (Lvl 3),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10004,Redwood Electric,Installation,Apprentice Electrician (Lvl 1),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10101,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10358,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10259,Pinnacle Plumbing & Drain,Field,Plumber - Master,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10011,Redwood Electric,Installation,Apprentice Electrician (Lvl 1),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10033,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10169,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-C326,Pinnacle Plumbing & Drain,Field,Contract Electrician,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10390,Pinnacle Plumbing & Drain,Fleet,Warehouse Associate,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10199,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10145,Pinnacle Plumbing & Drain,Field,Plumber - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10065,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10244,Pinnacle Plumbing & Drain,Field,Plumber - Journeyman,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10093,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10354,Pinnacle Plumbing & Drain,Call Center,CSR,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10007,Pinnacle Plumbing & Drain,Field,Plumbing Installer - Apprentice,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10065,Redwood Electric,Installation,Electrical Installer (Lvl 2),scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10369,Pinnacle Plumbing & Drain,Call Center,Dispatcher,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
PIN-10067,Pinnacle Plumbing & Drain,Field,Plumbing Installer,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
RED-10275,Redwood Electric,HR,HR Coordinator,scheduled_weekly_hours,Blank scheduled hours,blank,40.0,Default to 40 hours per week
