pnl_department,overtime_rate,commission_rate,bonus_rate,payroll_tax_rate,benefits_rate_of_base,benefits_per_head,load_factor_pnl,base_wages_salaries,total_labor_cost,contract_labor,avg_headcount_ttm
Field Service - Install,0.1214,0.0806,0.01,0.085,0.1308,7713.537,1.4279,27884606,40245847,429800,473
Field Service - Repair & Maintenance,0.119,0.0998,0.01,0.0848,0.1305,8261.6518,1.4442,36908705,54164325,860220,583
Sales,0.0,0.6007,0.0199,0.0845,0.1095,5826.3866,1.8146,6332819,11491558,0,119
Customer Care & Dispatch,0.04,0.0,0.0201,0.0852,0.1202,5063.9505,1.2655,8511300,10824328,53640,202
Warehouse & Fleet,0.0802,0.0,0.0101,0.0849,0.1209,5343.7872,1.296,4156505,5478757,91980,94
Finance & Accounting,0.0,0.0,0.0799,0.0749,0.1105,7498.3559,1.2654,4002536,5064707,0,59
HR,0.0,0.0,0.0603,0.0748,0.1099,7414.75,1.245,1888412,2351145,0,28
IT,0.0,0.0,0.0802,0.075,0.1098,8831.6774,1.265,2492753,3496116,342820,31
Marketing,0.0,0.0,0.0499,0.075,0.111,7328.3,1.2358,660116,815799,0,10
Executive & Corporate,0.0,0.0,0.3495,0.0601,0.1002,15393.4762,1.5098,3227571,4872933,0,21
