pnl_department,standardized_role,role_level,headcount,fte,annual_base,fully_loaded_annual_cost,avg_fully_loaded_cost_per_fte,avg_fully_loaded_hourly_cost
Customer Care & Dispatch,Customer Care Manager,NA,9,9.0,705000.0,852993.63,94777.0,45.57
Customer Care & Dispatch,Customer Care Supervisor,NA,16,16.0,944500.0,1162734.45,72671.0,34.94
Customer Care & Dispatch,Customer Service Representative,Unspecified,140,127.8,4929459.6,6292754.3,49239.0,23.67
Customer Care & Dispatch,Dispatcher,Unspecified,45,42.85,1963261.56,2465462.51,57537.0,27.66
Executive & Corporate,Chief Executive Officer,NA,1,1.0,438000.0,632809.94,632810.0,304.24
Executive & Corporate,Chief Financial Officer,NA,1,1.0,314500.0,458721.05,458721.0,220.54
Executive & Corporate,Chief Operating Officer,NA,1,1.0,313500.0,457311.42,457311.0,219.86
Executive & Corporate,Executive Assistant,NA,6,6.0,403500.0,661145.22,110191.0,52.98
Executive & Corporate,General Manager,NA,4,4.0,695000.0,1041264.4299999999,260316.0,125.15
Executive & Corporate,Operations Analyst,NA,6,6.0,449000.0,725283.23,120881.0,58.12
Executive & Corporate,Regional Vice President,NA,3,3.0,618000.0,917329.68,305777.0,147.01
Field Service - Install,Electrical Installer,Apprentice,19,19.0,746928.0,1115355.29,58703.0,28.22
Field Service - Install,Electrical Installer,II,53,53.0,2846313.6,4100609.87,77370.0,37.2
Field Service - Install,Electrical Installer,Lead,18,18.0,1606987.2,2223175.84,123510.0,59.38
Field Service - Install,HVAC Installer,I,30,30.0,1232171.2,1829585.74,60986.0,29.32
Field Service - Install,HVAC Installer,II,81,81.0,4412678.4,6348232.14,78373.0,37.68
Field Service - Install,HVAC Installer,Lead,21,21.0,1862120.0,2577234.7600000002,122725.0,59.0
Field Service - Install,HVAC Installer,Unspecified,106,106.0,6028672.0,8637084.37,81482.0,39.17
Field Service - Install,Install Manager,NA,30,30.0,2479250.0,3447100.96,114903.0,55.24
Field Service - Install,Plumbing Installer,Apprentice,33,33.0,1352000.0,2008149.48,60853.0,29.26
Field Service - Install,Plumbing Installer,Lead,21,21.0,1852531.2,2564797.68,122133.0,58.72
Field Service - Install,Plumbing Installer,Unspecified,71,71.0,3843361.6,5532668.12,77925.0,37.46
Field Service - Repair & Maintenance,Electrician,Apprentice,25,25.0,993012.8,1511078.22,60443.0,29.06
Field Service - Repair & Maintenance,Electrician,II,55,55.0,3334926.4,4835537.46,87919.0,42.27
Field Service - Repair & Maintenance,Electrician,III,19,19.0,1548456.0,2191203.0,115326.0,55.45
Field Service - Repair & Maintenance,Field Supervisor,NA,30,30.0,2405500.0,3407993.75,113600.0,54.62
