pnl_department,model_headcount,model_fte,pnl_avg_headcount_ttm,headcount_variance,headcount_variance_pct,fte_variance_vs_ttm_headcount,model_annual_base,pnl_base_wages_ttm,base_variance,bridge_volume_effect,bridge_rate_mix_effect,rate_mix_pct_of_base,platform_rate_mix_pct,deviation_from_platform_pct,within_tolerance,model_base_per_head,model_base_per_fte,pnl_base_per_head,load_factor_pnl,model_fully_loaded_cost,pnl_employee_labor_cost_ttm,loaded_cost_variance,loaded_cost_variance_pct,model_contract_headcount,model_contract_annualized,pnl_contract_labor_ttm,contract_utilization_implied
Customer Care & Dispatch,210,195.65,202,8,0.0396,-6.3,8542221.16,8511300,30921.0,337081.0,-306160.0,-0.036,-0.0163,-0.0197,True,40677.0,43661.0,42135.0,1.2654574506832095,10773944.89,10770688,3257.0,0.0003,3.0,111571.20000000001,53640,0.481
Executive & Corporate,22,22.0,21,1,0.0476,1.0,3231500.0,3227571,3929.0,153694.0,-149765.0,-0.0464,-0.0163,-0.0301,True,146886.0,146886.0,153694.0,1.5097833634023852,4893864.97,4872933,20932.0,0.0043,0.0,0.0,0,
Field Service - Install,483,483.0,473,10,0.0211,10.0,28263013.2,27884606,378407.0,589527.0,-211119.0,-0.0076,-0.0163,0.0087,True,58516.0,58516.0,58953.0,1.4278863040058734,40383994.25,39816047,567947.0,0.0143,10.0,893984.0,429800,0.481
Field Service - Repair & Maintenance,603,603.0,583,20,0.0343,20.0,37489923.2,36908705,581218.0,1266165.0,-684947.0,-0.0186,-0.0163,-0.0023,True,62172.0,62172.0,63308.0,1.4442149893907141,54232892.77,53304105,928788.0,0.0174,18.0,1789257.6,860220,0.481
Finance & Accounting,60,60.0,59,1,0.0169,1.0,3980265.6,4002536,-22270.0,67840.0,-90110.0,-0.0225,-0.0163,-0.0062,True,66338.0,66338.0,67840.0,1.2653745025653735,5046486.78,5064707,-18220.0,-0.0036,0.0,0.0,0,
HR,28,28.0,28,0,0.0,0.0,1885000.0,1888412,-3412.0,0.0,-3412.0,-0.0018,-0.0163,0.0145,True,67321.0,67321.0,67443.0,1.2450381590458015,2347272.05,2351145,-3873.0,-0.0016,0.0,0.0,0,
IT,32,32.0,31,1,0.0323,1.0,2487525.6,2492753,-5227.0,80411.0,-85639.0,-0.0344,-0.0163,-0.0181,True,77735.0,77735.0,80411.0,1.2649853395021489,3156089.31,3153296,2793.0,0.0009,4.0,713065.6,342820,0.481
Marketing,12,12.0,10,2,0.2,2.0,876000.0,660116,215884.0,132023.0,83861.0,0.127,-0.0163,0.1433,False,73000.0,73000.0,66012.0,1.235841882335832,1073287.65,815799,257489.0,0.3156,0.0,0.0,0,
Sales,120,120.0,119,1,0.0084,1.0,6332393.6,6332819,-425.0,53217.0,-53642.0,-0.0085,-0.0163,0.0078,True,52770.0,52770.0,53217.0,1.8146038912528528,11496659.49,11491558,5101.0,0.0004,0.0,0.0,0,
Warehouse & Fleet,95,90.325,94,1,0.0106,-3.7,4133300.04,4156505,-23205.0,44218.0,-67423.0,-0.0162,-0.0163,0.0001,True,43508.0,45760.0,44218.0,1.2959871334209871,5339869.85,5386777,-46907.0,-0.0087,5.0,191318.4,91980,0.481
