employee_id,opco,pnl_department,raw_department,standardized_role,role_level,role_with_level,role_family,raw_job_title,worker_class,employee_type,work_state,hire_date,tenure_years,fte,scheduled_weekly_hours,pay_basis_resolved,pay_rate,annual_base,hourly_base_rate,overtime_cost,variable_comp_cost,bonus_cost,payroll_tax_cost,benefits_cost,fully_loaded_annual_cost,fully_loaded_hourly_cost,load_factor_applied,data_quality_flag
BAY-10431,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,,FL,2024-07-24,2.1,1.0,40.0,Annual,71000.0,71000.0,34.13,2839.92,0.0,1423.7,6050.82,5063.95,86378.39,41.53,1.2166,clean
BAY-10432,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,Regular,FL,2020-12-08,5.73,1.0,40.0,Annual,77500.0,77500.0,37.26,3099.92,0.0,1554.04,6604.77,5063.95,93822.68,45.11,1.2106,clean
GLC-10342,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,,MI,2026-04-13,0.38,1.0,40.0,Annual,80500.0,80500.0,38.7,3219.91,0.0,1614.2,6860.44,5063.95,97258.5,46.76,1.2082,clean
GLC-10343,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,,MI,2024-10-31,1.83,1.0,40.0,Annual,82500.0,82500.0,39.66,3299.91,0.0,1654.3,7030.88,5063.95,99549.04,47.86,1.2067,clean
GLC-10344,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,Full-Time,MI,2025-04-09,1.39,1.0,40.0,Annual,83000.0,83000.0,39.9,3319.91,0.0,1664.33,7073.49,5063.95,100121.68,48.14,1.2063,clean
GLC-10345,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,Full-Time,MI,2023-01-15,3.62,1.0,40.0,Annual,72500.0,72500.0,34.86,2899.92,0.0,1453.78,6178.65,5063.95,88096.3,42.35,1.2151,clean
PIN-10379,Pinnacle Plumbing & Drain,Customer Care & Dispatch,Call Center,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,FT,TX,2025-08-14,1.05,1.0,40.0,Annual,72000.0,72000.0,34.62,2879.92,0.0,1443.76,6136.04,5063.95,87523.67,42.08,1.2156,hours_defaulted;pay_basis_imputed
PIN-10380,Pinnacle Plumbing & Drain,Customer Care & Dispatch,Call Center,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,Regular,TX,2022-05-17,4.29,1.0,40.0,Annual,83500.0,83500.0,40.14,3339.91,0.0,1674.36,7116.11,5063.95,100694.33,48.41,1.2059,hours_defaulted;pay_basis_imputed
PIN-10381,Pinnacle Plumbing & Drain,Customer Care & Dispatch,Call Center,Customer Care Manager,NA,Customer Care Manager,Customer Care & Dispatch,Customer Care Manager,Employee,Regular,TX,2021-04-26,5.35,1.0,40.0,Annual,82500.0,82500.0,39.66,3299.91,0.0,1654.3,7030.88,5063.95,99549.04,47.86,1.2067,hours_defaulted;pay_basis_imputed
BAY-10425,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,FL,2026-02-06,0.56,1.0,40.0,Annual,56000.0,56000.0,26.92,2239.94,0.0,1122.92,4772.48,5063.95,69199.29,33.27,1.2357,clean
BAY-10426,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,,FL,2023-10-11,2.89,1.0,40.0,Annual,63500.0,63500.0,30.53,2539.93,0.0,1273.31,5411.65,5063.95,77788.84,37.4,1.225,clean
BAY-10427,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,FL,2026-05-17,0.29,1.0,40.0,Annual,59500.0,59500.0,28.61,2379.94,0.0,1193.1,5070.76,5063.95,73207.75,35.2,1.2304,clean
BAY-10428,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,FL,2022-06-29,4.17,1.0,40.0,Annual,62500.0,62500.0,30.05,2499.93,0.0,1253.26,5326.43,5063.95,76643.57,36.85,1.2263,clean
BAY-10429,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,,FL,2021-10-28,4.84,1.0,40.0,Annual,57500.0,57500.0,27.64,2299.94,0.0,1153.0,4900.31,5063.95,70917.2,34.09,1.2333,on_leave
BAY-10430,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,FL,2021-07-22,5.11,1.0,40.0,Annual,59000.0,59000.0,28.37,2359.94,0.0,1183.08,5028.15,5063.95,72635.12,34.92,1.2311,clean
GLC-10337,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,MI,2026-05-01,0.33,1.0,40.0,Annual,62000.0,62000.0,29.81,2479.93,0.0,1243.23,5283.81,5063.95,76070.92,36.57,1.227,clean
GLC-10338,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,MI,2023-10-31,2.83,1.0,40.0,Annual,61000.0,61000.0,29.33,2439.94,0.0,1223.18,5198.59,5063.95,74925.66,36.02,1.2283,clean
GLC-10339,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,MI,2024-09-30,1.92,1.0,40.0,Annual,59000.0,59000.0,28.37,2359.94,0.0,1183.08,5028.15,5063.95,72635.12,34.92,1.2311,clean
GLC-10340,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,,MI,2025-03-28,1.43,1.0,40.0,Annual,56500.0,56500.0,27.16,2259.94,0.0,1132.95,4815.09,5063.95,69771.93,33.54,1.2349,clean
GLC-10341,Great Lakes Comfort Systems,Customer Care & Dispatch,Customer Care,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,MI,2024-03-29,2.42,1.0,40.0,Annual,55500.0,55500.0,26.68,2219.94,0.0,1112.9,4729.87,5063.95,68626.66,32.99,1.2365,clean
PIN-10374,Pinnacle Plumbing & Drain,Customer Care & Dispatch,Call Center,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,TX,2025-07-29,1.09,1.0,40.0,Annual,57000.0,57000.0,27.4,2279.94,0.0,1142.97,4857.7,5063.95,70344.56,33.82,1.2341,hours_defaulted;pay_basis_imputed
PIN-10375,Pinnacle Plumbing & Drain,Customer Care & Dispatch,Call Center,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,TX,2023-11-02,2.83,1.0,40.0,Annual,58000.0,58000.0,27.88,2319.94,0.0,1163.03,4942.92,5063.95,71489.84,34.37,1.2326,hours_defaulted;pay_basis_imputed
PIN-10376,Pinnacle Plumbing & Drain,Customer Care & Dispatch,Call Center,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Full-Time,TX,2018-12-12,7.72,1.0,40.0,Annual,56500.0,56500.0,27.16,2259.94,0.0,1132.95,4815.09,5063.95,69771.93,33.54,1.2349,hours_defaulted;pay_basis_imputed
PIN-10377,Pinnacle Plumbing & Drain,Customer Care & Dispatch,Call Center,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,TX,2021-09-25,4.93,1.0,40.0,Annual,60500.0,60500.0,29.09,2419.94,0.0,1213.16,5155.98,5063.95,74353.03,35.75,1.229,hours_defaulted;pay_basis_imputed
PIN-10378,Pinnacle Plumbing & Drain,Customer Care & Dispatch,Call Center,Customer Care Supervisor,NA,Customer Care Supervisor,Customer Care & Dispatch,Call Center Supervisor,Employee,Regular,TX,2024-12-08,1.73,1.0,40.0,Annual,60500.0,60500.0,29.09,2419.94,0.0,1213.16,5155.98,5063.95,74353.03,35.75,1.229,hours_defaulted;pay_basis_imputed
BAY-10371,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Full-Time,FL,2026-02-10,0.55,1.0,40.0,Hourly,20.98,43638.4,20.98,1745.49,0.0,875.04,3718.99,5063.95,55041.87,26.46,1.2613,clean
BAY-10372,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,Full-Time,FL,2020-01-16,6.62,1.0,40.0,Hourly,20.09,41787.2,20.09,1671.44,0.0,837.92,3561.22,5063.95,52921.73,25.44,1.2665,clean
BAY-10373,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,,FL,2024-09-14,1.96,1.0,40.0,Hourly,16.87,35089.6,16.87,1403.55,0.0,703.62,2990.43,5063.95,45251.15,21.76,1.2896,clean
BAY-10374,Bayside Mechanical,Customer Care & Dispatch,Customer Care,Customer Service Representative,Unspecified,Customer Service Representative - Unspecified,Customer Care & Dispatch,Customer Service Rep,Employee,FT,FL,2025-07-24,1.1,1.0,40.0,Hourly,19.07,39665.6,19.07,1586.58,0.0,795.38,3380.41,5063.95,50491.92,24.27,1.2729,clean
